,setup_id,task_id
132,8261838,3021
133,8261839,3021
134,8261844,3021
135,8261845,3021
136,8261853,3021
137,8261854,3021
138,8261859,3021
139,8261862,3021
140,8261870,3021
141,8261879,3021
142,8261882,3021
143,8261883,3021
144,8261884,3021
145,8261887,3021
146,8261890,3021
147,8261891,3021
148,8261896,3021
149,8261901,3021
150,8261902,3021
151,8261903,3021
152,8261908,3021
153,8261910,3021
154,8261911,3021
155,8261918,3021
156,8261919,3021
157,8261928,3021
158,8261934,3021
159,8261937,3021
160,8261938,3021
161,8261940,3021
162,8261941,3021
163,8261954,3021
164,8261959,3021
165,8261961,3021
166,8261968,3021
167,8261969,3021
168,8261974,3021
169,8261976,3021
170,8261980,3021
171,8261981,3021
172,8261984,3021
173,8261987,3021
174,8261988,3021
175,8261989,3021
176,8261992,3021
177,8262000,3021
178,8262005,3021
179,8262011,3021
180,8262021,3021
181,8262023,3021
182,8262032,3021
183,8262035,3021
184,8262040,3021
185,8262042,3021
186,8262046,3021
187,8262049,3021
188,8262053,3021
189,8262056,3021
190,8262058,3021
191,8262062,3021
192,8262063,3021
193,8262064,3021
194,8262067,3021
195,8262072,3021
196,8262074,3021
197,8262089,3021
198,8262091,3021
199,8262099,3021
200,8262103,3021
201,8262109,3021
202,8262115,3021
203,8262118,3021
204,8262119,3021
205,8262140,3021
206,8262150,3021
207,8262159,3021
208,8262182,3021
209,8262187,3021
210,8262191,3021
211,8262195,3021
212,8262202,3021
213,8262208,3021
214,8262236,3021
215,8262261,3021
216,8262277,3021
217,8261494,3481
218,8261520,3481
219,8261522,3481
220,8261524,3481
221,8261526,3481
222,8261528,3481
223,8261540,3481
224,8261550,3481
225,8261553,3481
226,8261555,3481
227,8261558,3481
228,8261562,3481
229,8261565,3481
230,8261568,3481
231,8261570,3481
232,8261573,3481
233,8261574,3481
234,8261577,3481
235,8261583,3481
236,8261588,3481
237,8261593,3481
238,8261598,3481
239,8261602,3481
240,8261604,3481
241,8261611,3481
242,8261618,3481
243,8261620,3481
244,8261626,3481
245,8261627,3481
246,8261635,3481
247,8261639,3481
248,8261642,3481
249,8261650,3481
250,8261651,3481
251,8261653,3481
252,8261661,3481
253,8261665,3481
254,8261666,3481
255,8261678,3481
256,8261679,3481
257,8261680,3481
258,8261682,3481
259,8261685,3481
260,8261707,3481
261,8261708,3481
262,8261710,3481
263,8261711,3481
264,8261715,3481
265,8261723,3481
266,8261728,3481
267,8261730,3481
268,8261732,3481
269,8261741,3481
270,8261744,3481
271,8261746,3481
272,8261747,3481
273,8261752,3481
274,8261754,3481
275,8261756,3481
276,8261759,3481
277,8261762,3481
278,8261768,3481
279,8261771,3481
280,8261772,3481
281,8261775,3481
282,8261781,3481
283,8261787,3481
284,8261792,3481
285,8261794,3481
286,8261800,3481
287,8261806,3481
288,8261810,3481
289,8261815,3481
290,8261817,3481
291,8261821,3481
292,8261823,3481
293,8261828,3481
294,8261831,3481
295,8261833,3481
296,8261838,3481
297,8261839,3481
298,8261854,3481
299,8261859,3481
300,8261879,3481
301,8261884,3481
302,8261887,3481
303,8261890,3481
304,8261891,3481
305,8261896,3481
306,8261901,3481
307,8261908,3481
308,8261910,3481
309,8261911,3481
310,8261919,3481
311,8261937,3481
312,8261938,3481
313,8261940,3481
314,8261954,3481
315,8261959,3481
316,8261968,3481
317,8261976,3481
318,8261980,3481
319,8261981,3481
320,8261984,3481
321,8261987,3481
322,8261992,3481
323,8262000,3481
324,8262005,3481
325,8262023,3481
326,8262032,3481
327,8262035,3481
328,8262042,3481
329,8262053,3481
330,8262056,3481
331,8262058,3481
332,8262063,3481
333,8262067,3481
334,8262072,3481
335,8262089,3481
336,8262091,3481
337,8262119,3481
338,8262140,3481
339,8262150,3481
340,8262182,3481
341,8262187,3481
342,8262191,3481
343,8262208,3481
344,8262236,3481
345,8261568,7592
346,8261570,7592
347,8261583,7592
348,8261598,7592
349,8261604,7592
350,8261680,7592
351,8261707,7592
352,8261759,7592
353,8261806,7592
354,8261817,7592
355,8261831,7592
356,8261879,7592
357,8261887,7592
358,8261890,7592
359,8261968,7592
360,8261981,7592
361,8261984,7592
362,8262032,7592
363,8262035,7592
364,8262058,7592
365,8262067,7592
366,8262140,7592
367,8261494,14970
368,8261509,14970
369,8261526,14970
370,8261528,14970
371,8261540,14970
372,8261544,14970
373,8261555,14970
374,8261558,14970
375,8261568,14970
376,8261570,14970
377,8261574,14970
378,8261583,14970
379,8261588,14970
380,8261593,14970
381,8261598,14970
382,8261604,14970
383,8261611,14970
384,8261618,14970
385,8261622,14970
386,8261627,14970
387,8261635,14970
388,8261639,14970
389,8261651,14970
390,8261653,14970
391,8261661,14970
392,8261665,14970
393,8261667,14970
394,8261674,14970
395,8261678,14970
396,8261680,14970
397,8261682,14970
398,8261696,14970
399,8261707,14970
400,8261710,14970
401,8261711,14970
402,8261723,14970
403,8261728,14970
404,8261732,14970
405,8261741,14970
406,8261744,14970
407,8261746,14970
408,8261754,14970
409,8261759,14970
410,8261762,14970
411,8261768,14970
412,8261771,14970
413,8261772,14970
414,8261775,14970
415,8261787,14970
416,8261792,14970
417,8261794,14970
418,8261806,14970
419,8261810,14970
420,8261817,14970
421,8261821,14970
422,8261823,14970
423,8261828,14970
424,8261831,14970
425,8261833,14970
426,8261838,14970
427,8261845,14970
428,8261854,14970
429,8261879,14970
430,8261884,14970
431,8261887,14970
432,8261890,14970
433,8261891,14970
434,8261896,14970
435,8261910,14970
436,8261919,14970
437,8261940,14970
438,8261941,14970
439,8261954,14970
440,8261968,14970
441,8261976,14970
442,8261981,14970
443,8261984,14970
444,8261992,14970
445,8262005,14970
446,8262023,14970
447,8262032,14970
448,8262035,14970
449,8262040,14970
450,8262042,14970
451,8262053,14970
452,8262058,14970
453,8262067,14970
454,8262072,14970
455,8262089,14970
456,8262091,14970
457,8262119,14970
458,8262140,14970
459,8262150,14970
460,8262187,14970
461,8262191,14970
462,8262208,14970
463,8261487,146195
464,8261494,146195
465,8261509,146195
466,8261514,146195
467,8261516,146195
468,8261517,146195
469,8261520,146195
470,8261522,146195
471,8261524,146195
472,8261526,146195
473,8261527,146195
474,8261528,146195
475,8261529,146195
476,8261537,146195
477,8261540,146195
478,8261543,146195
479,8261544,146195
480,8261547,146195
481,8261550,146195
482,8261553,146195
483,8261555,146195
484,8261556,146195
485,8261558,146195
486,8261562,146195
487,8261565,146195
488,8261567,146195
489,8261568,146195
490,8261570,146195
491,8261573,146195
492,8261574,146195
493,8261576,146195
494,8261577,146195
495,8261579,146195
496,8261583,146195
497,8261586,146195
498,8261588,146195
499,8261590,146195
500,8261591,146195
501,8261593,146195
502,8261598,146195
503,8261602,146195
504,8261603,146195
505,8261604,146195
506,8261605,146195
507,8261608,146195
508,8261610,146195
509,8261611,146195
510,8261617,146195
511,8261618,146195
512,8261620,146195
513,8261621,146195
514,8261622,146195
515,8261626,146195
516,8261627,146195
517,8261634,146195
518,8261635,146195
519,8261638,146195
520,8261639,146195
521,8261642,146195
522,8261649,146195
523,8261650,146195
524,8261651,146195
525,8261653,146195
526,8261658,146195
527,8261661,146195
528,8261665,146195
529,8261666,146195
530,8261667,146195
531,8261674,146195
532,8261677,146195
533,8261678,146195
534,8261679,146195
535,8261680,146195
536,8261682,146195
537,8261685,146195
538,8261687,146195
539,8261688,146195
540,8261692,146195
541,8261693,146195
542,8261696,146195
543,8261703,146195
544,8261707,146195
545,8261708,146195
546,8261710,146195
547,8261711,146195
548,8261715,146195
549,8261718,146195
550,8261720,146195
551,8261723,146195
552,8261728,146195
553,8261729,146195
554,8261730,146195
555,8261732,146195
556,8261733,146195
557,8261735,146195
558,8261740,146195
559,8261741,146195
560,8261744,146195
561,8261746,146195
562,8261747,146195
563,8261752,146195
564,8261754,146195
565,8261756,146195
566,8261759,146195
567,8261762,146195
568,8261767,146195
569,8261768,146195
570,8261769,146195
571,8261771,146195
572,8261772,146195
573,8261775,146195
574,8261778,146195
575,8261781,146195
576,8261785,146195
577,8261787,146195
578,8261792,146195
579,8261794,146195
580,8261797,146195
581,8261800,146195
582,8261801,146195
583,8261806,146195
584,8261807,146195
585,8261810,146195
586,8261814,146195
587,8261815,146195
588,8261817,146195
589,8261821,146195
590,8261823,146195
591,8261825,146195
592,8261828,146195
593,8261831,146195
594,8261833,146195
595,8261838,146195
596,8261839,146195
597,8261844,146195
598,8261845,146195
599,8261853,146195
600,8261854,146195
601,8261859,146195
602,8261862,146195
603,8261870,146195
604,8261879,146195
605,8261882,146195
606,8261883,146195
607,8261884,146195
608,8261887,146195
609,8261890,146195
610,8261891,146195
611,8261896,146195
612,8261901,146195
613,8261902,146195
614,8261903,146195
615,8261908,146195
616,8261910,146195
617,8261911,146195
618,8261918,146195
619,8261919,146195
620,8261928,146195
621,8261934,146195
622,8261937,146195
623,8261938,146195
624,8261940,146195
625,8261941,146195
626,8261954,146195
627,8261959,146195
628,8261961,146195
629,8261968,146195
630,8261969,146195
631,8261974,146195
632,8261976,146195
633,8261980,146195
634,8261981,146195
635,8261984,146195
636,8261987,146195
637,8261988,146195
638,8261989,146195
639,8261992,146195
640,8262000,146195
641,8262005,146195
642,8262011,146195
643,8262021,146195
644,8262023,146195
645,8262032,146195
646,8262035,146195
647,8262040,146195
648,8262042,146195
649,8262046,146195
650,8262049,146195
651,8262053,146195
652,8262056,146195
653,8262058,146195
654,8262062,146195
655,8262063,146195
656,8262064,146195
657,8262067,146195
658,8262072,146195
659,8262074,146195
660,8262089,146195
661,8262091,146195
662,8262099,146195
663,8262103,146195
664,8262109,146195
665,8262115,146195
666,8262118,146195
667,8262119,146195
668,8262140,146195
669,8262150,146195
670,8262159,146195
671,8262182,146195
672,8262187,146195
673,8262191,146195
674,8262195,146195
675,8262202,146195
676,8262208,146195
677,8262236,146195
678,8262261,146195
679,8262277,146195
680,8261494,167120
681,8261526,167120
682,8261558,167120
683,8261568,167120
684,8261570,167120
685,8261583,167120
686,8261598,167120
687,8261604,167120
688,8261618,167120
689,8261627,167120
690,8261639,167120
691,8261653,167120
692,8261661,167120
693,8261678,167120
694,8261680,167120
695,8261707,167120
696,8261710,167120
697,8261723,167120
698,8261741,167120
699,8261754,167120
700,8261759,167120
701,8261762,167120
702,8261771,167120
703,8261772,167120
704,8261775,167120
705,8261787,167120
706,8261806,167120
707,8261810,167120
708,8261817,167120
709,8261821,167120
710,8261828,167120
711,8261831,167120
712,8261833,167120
713,8261879,167120
714,8261887,167120
715,8261890,167120
716,8261919,167120
717,8261968,167120
718,8261981,167120
719,8261984,167120
720,8262032,167120
721,8262035,167120
722,8262053,167120
723,8262058,167120
724,8262067,167120
725,8262072,167120
726,8262089,167120
727,8262119,167120
728,8262140,167120
729,8262150,167120
730,8262187,167120
731,8262191,167120
732,8261487,167125
733,8261494,167125
734,8261509,167125
735,8261514,167125
736,8261516,167125
737,8261517,167125
738,8261520,167125
739,8261522,167125
740,8261524,167125
741,8261526,167125
742,8261527,167125
743,8261528,167125
744,8261529,167125
745,8261537,167125
746,8261540,167125
747,8261543,167125
748,8261544,167125
749,8261547,167125
750,8261550,167125
751,8261553,167125
752,8261555,167125
753,8261556,167125
754,8261558,167125
755,8261562,167125
756,8261565,167125
757,8261567,167125
758,8261568,167125
759,8261570,167125
760,8261573,167125
761,8261574,167125
762,8261576,167125
763,8261577,167125
764,8261579,167125
765,8261583,167125
766,8261586,167125
767,8261588,167125
768,8261590,167125
769,8261591,167125
770,8261593,167125
771,8261598,167125
772,8261602,167125
773,8261603,167125
774,8261604,167125
775,8261605,167125
776,8261608,167125
777,8261610,167125
778,8261611,167125
779,8261617,167125
780,8261618,167125
781,8261620,167125
782,8261621,167125
783,8261622,167125
784,8261626,167125
785,8261627,167125
786,8261634,167125
787,8261635,167125
788,8261638,167125
789,8261639,167125
790,8261642,167125
791,8261649,167125
792,8261650,167125
793,8261651,167125
794,8261653,167125
795,8261658,167125
796,8261661,167125
797,8261665,167125
798,8261666,167125
799,8261667,167125
800,8261674,167125
801,8261677,167125
802,8261678,167125
803,8261679,167125
804,8261680,167125
805,8261682,167125
806,8261685,167125
807,8261687,167125
808,8261688,167125
809,8261692,167125
810,8261693,167125
811,8261696,167125
812,8261703,167125
813,8261707,167125
814,8261708,167125
815,8261710,167125
816,8261711,167125
817,8261715,167125
818,8261718,167125
819,8261720,167125
820,8261723,167125
821,8261728,167125
822,8261729,167125
823,8261730,167125
824,8261732,167125
825,8261733,167125
826,8261735,167125
827,8261740,167125
828,8261741,167125
829,8261744,167125
830,8261746,167125
831,8261747,167125
832,8261752,167125
833,8261754,167125
834,8261756,167125
835,8261759,167125
836,8261762,167125
837,8261767,167125
838,8261768,167125
839,8261769,167125
840,8261771,167125
841,8261772,167125
842,8261775,167125
843,8261778,167125
844,8261781,167125
845,8261785,167125
846,8261787,167125
847,8261792,167125
848,8261794,167125
849,8261797,167125
850,8261800,167125
851,8261801,167125
852,8261806,167125
853,8261807,167125
854,8261810,167125
855,8261814,167125
856,8261815,167125
857,8261817,167125
858,8261821,167125
859,8261823,167125
860,8261825,167125
861,8261828,167125
862,8261831,167125
863,8261833,167125
864,8261838,167125
865,8261839,167125
866,8261844,167125
867,8261845,167125
868,8261853,167125
869,8261854,167125
870,8261859,167125
871,8261862,167125
872,8261870,167125
873,8261879,167125
874,8261882,167125
875,8261883,167125
876,8261884,167125
877,8261887,167125
878,8261890,167125
879,8261891,167125
880,8261896,167125
881,8261901,167125
882,8261902,167125
883,8261903,167125
884,8261908,167125
885,8261910,167125
886,8261911,167125
887,8261918,167125
888,8261919,167125
889,8261928,167125
890,8261934,167125
891,8261937,167125
892,8261938,167125
893,8261940,167125
894,8261941,167125
895,8261954,167125
896,8261959,167125
897,8261961,167125
898,8261968,167125
899,8261969,167125
900,8261974,167125
901,8261976,167125
902,8261980,167125
903,8261981,167125
904,8261984,167125
905,8261987,167125
906,8261988,167125
907,8261989,167125
908,8261992,167125
909,8262000,167125
910,8262005,167125
911,8262011,167125
912,8262021,167125
913,8262023,167125
914,8262032,167125
915,8262035,167125
916,8262040,167125
917,8262042,167125
918,8262046,167125
919,8262049,167125
920,8262053,167125
921,8262056,167125
922,8262058,167125
923,8262062,167125
924,8262063,167125
925,8262064,167125
926,8262067,167125
927,8262072,167125
928,8262074,167125
929,8262089,167125
930,8262091,167125
931,8262099,167125
932,8262103,167125
933,8262109,167125
934,8262115,167125
935,8262118,167125
936,8262119,167125
937,8262140,167125
938,8262150,167125
939,8262159,167125
940,8262182,167125
941,8262187,167125
942,8262191,167125
943,8262195,167125
944,8262202,167125
945,8262208,167125
946,8262236,167125
947,8262261,167125
948,8262277,167125
